@RELATION localisation

@attribute lat REAL
@attribute long REAL

@data
40032356.6,116355541.6
40032356.6,116355524.9
40032296.6,116355409.9
40032324.9,116355301.6
40032383.3,116355226.6
40032461.6,116355155.0
40032521.6,116355079.9
40032501.6,116354978.3
40032451.6,116354890.0
40032409.9,116354808.3
40032364.9,116354703.3
40032299.9,116354624.9
40032259.9,116354533.3
40032186.6,116354461.6
40032133.3,116354370.0
40032099.9,116354281.6
40032063.3,116354198.3
40032089.9,116354094.9
40032118.3,116354006.6
40032124.9,116353916.6
40032046.6,116353818.3
40031978.3,116353748.3
40031919.9,116353678.3
40031906.6,116353580.0
40031946.6,116353496.6
40032033.3,116353461.6
40032126.6,116353515.0
40032171.6,116353421.6
40032243.3,116353348.3
40032339.9,116353316.6
40032439.9,116353344.9
40032513.3,116353425.0
40032524.9,116353320.0
40032541.6,116353204.9
40032553.3,116353111.6
40032610.0,116353009.9
40032586.6,116352908.3
40032574.9,116352804.9
40032611.6,116352704.9
40032651.6,116352609.9
40032586.6,116352535.0
40032586.6,116352433.3
40032576.6,116352336.6
40032503.3,116352275.0
40032431.6,116352209.9
40032378.3,116352133.3
40032371.6,116352043.3
40032306.6,116351966.6
40032291.6,116351870.0
40032279.9,116351771.6
40032249.9,116351663.3
40032236.6,116351566.6
40032206.6,116351464.9
40032218.3,116351365.0
40032188.3,116351260.0
40032164.9,116351161.6
40032126.6,116351078.3
40032138.3,116350981.6
40032095.0,116350898.3
40032134.9,116350796.6
40032116.6,116350700.0
40032074.9,116350601.6
40032048.3,116350499.9
40032083.3,116350403.3
40032183.3,116350370.0
40032278.3,116350391.6
40032388.3,116350418.3
40032459.9,116350358.3
40032526.6,116350261.6
40032621.6,116350236.6
40032718.3,116350243.3
40032808.3,116350176.6
40032888.3,116350123.3
40032961.6,116350043.3
40033051.6,116350029.9
40033136.6,116349991.6
40033228.3,116349944.9
40033289.9,116349871.6
40033386.6,116349828.3
40033479.9,116349813.3
40033566.6,116349758.3
40033571.6,116349639.9
40033609.9,116349541.6
40033681.6,116349484.9
40033704.9,116349386.6
40033638.3,116349323.3
40033563.3,116349261.6
40033478.3,116349189.9
40033453.3,116349068.3
40033413.3,116348964.9
40033363.3,116348878.3
40033294.9,116348798.3
40033258.3,116348708.3
40033270.0,116348611.6
40033288.3,116348518.3
40033273.3,116348421.6
40033263.3,116348326.6
40033224.9,116348236.6
40033154.9,116348155.0
40033118.3,116348053.3
40033073.3,116347945.0
40033019.9,116347855.0
40032963.3,116347785.0
40032926.6,116347696.6
40032889.9,116347603.3
40032881.6,116347509.9
40032863.3,116347401.6
40032813.3,116347308.3
